[MASTER] 17:07:28.227 [pool-2-thread-1] WARN  TestSuiteSerialization - Cannot load tests because file does not exist: /Users/cbc/Project/Java/ChiSha/recommend-service/.evosuite/evosuite-seeds/org.sse.recommendservice.service.RecommendService.seed
[MASTER] 17:07:28.531 [pool-2-thread-1] WARN  TimeController - Phase INITIALIZATION lasted too long, 1 seconds more than allowed.
[MASTER] 17:07:42.186 [pool-2-thread-1] WARN  CheapPurityAnalyzer - reactor.netty.ByteBufFlux was not found in the inheritance tree. Using DEFAULT value for cheap-purity analysis
[MASTER] 17:07:42.189 [pool-2-thread-1] WARN  InheritanceTree - Class not in inheritance graph: reactor.netty.ByteBufFlux
[MASTER] 17:07:42.189 [pool-2-thread-1] WARN  CheapPurityAnalyzer - io.netty.handler.codec.http.HttpMethod was not found in the inheritance tree. Using DEFAULT value for cheap-purity analysis
[MASTER] 17:07:42.189 [pool-2-thread-1] WARN  InheritanceTree - Class not in inheritance graph: io.netty.handler.codec.http.HttpMethod
[MASTER] 17:07:42.190 [pool-2-thread-1] WARN  CheapPurityAnalyzer - reactor.netty.http.server.HttpServerRequest was not found in the inheritance tree. Using DEFAULT value for cheap-purity analysis
[MASTER] 17:07:42.190 [pool-2-thread-1] WARN  InheritanceTree - Class not in inheritance graph: reactor.netty.http.server.HttpServerRequest
[MASTER] 17:07:42.192 [pool-2-thread-1] WARN  CheapPurityAnalyzer - io.netty.handler.codec.http.HttpResponseStatus was not found in the inheritance tree. Using DEFAULT value for cheap-purity analysis
[MASTER] 17:07:42.192 [pool-2-thread-1] WARN  InheritanceTree - Class not in inheritance graph: io.netty.handler.codec.http.HttpResponseStatus
[MASTER] 17:07:46.161 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for interface org.sse.recommendservice.mapper.RecipeRelatedMapper canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 17:07:46.180 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Have no generator for interface org.sse.recommendservice.mapper.UserRelatedMapper canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 17:07:48.751 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.HashMap due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface org.sse.recommendservice.mapper.RecipeRelatedMapper canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 17:08:17.372 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.Vector due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for reactor.core.publisher.UnicastProcessor due to org.evosuite.ga.ConstructionFailedException: Failed to add constructor for org.springframework.http.server.reactive.ChannelSendOperator due to org.evosuite.ga.ConstructionFailedException: Have no generator for class com.netflix.hystrix.strategy.concurrency.HystrixConcurrencyStrategyDefault canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 17:08:17.855 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.ArrayList due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface org.sse.recommendservice.mapper.UserRelatedMapper canUseFunctionalMocks=false, canBeMocked: true
[MASTER] 17:08:18.780 [pool-2-thread-1] WARN  TestChromosome - Functional mock problem: org.evosuite.ga.ConstructionFailedException: Failed to add constructor for java.util.HashMap due to org.evosuite.ga.ConstructionFailedException: Have no generator for interface org.sse.recommendservice.mapper.UserRelatedMapper canUseFunctionalMocks=false, canBeMocked: true
